Marca temporal,Horas jugadas antes de la partida ,Hora del día en que jugaste  ,Tipo de juego,Jugaste con amigos o solo  ,Nivel de cansancio antes de jugar  ,Número de victorias consecutivas que llevabas antes de esta partida  ,Ganaste o Perdiste la partida
17/9/2025 9:48:16,4 - 5 + horas,Madrugada (12am–6am),Deportes,Solo,4,10,Perdí
17/9/2025 9:59:22,0 - 1 horas,Noche (6pm–12am),Shooter,Con amigos,4,3,Gané
17/9/2025 10:00:25,0 - 1 horas,Noche (6pm–12am),MOBA,Con amigos,3,0,Perdí
17/9/2025 10:03:31,2 - 3 horas,Tarde (12pm–6pm),MOBA,Solo,4,3,Gané
17/9/2025 10:03:49,1 - 2 horas,Mañana (6 am - 12 pm),MOBA,Solo,1,0,Gané
17/9/2025 10:04:08,3 - 4 horas,Noche (6pm–12am),MOBA,Solo,5,5,Perdí
17/9/2025 10:04:23,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,2,0,Perdí
17/9/2025 10:04:37,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,4,2,Perdí
17/9/2025 10:04:48,1 - 2 horas,Mañana (6 am - 12 pm),MOBA,Solo,1,0,Perdí
17/9/2025 10:04:59,1 - 2 horas,Mañana (6 am - 12 pm),MOBA,Solo,1,1,Perdí
17/9/2025 10:05:17,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,3,0,Gané
17/9/2025 10:05:27,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,3,1,Gané
17/9/2025 10:05:39,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,3,2,Gané
17/9/2025 10:05:52,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,4,3,Gané
17/9/2025 10:06:03,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,4,4,Gané
17/9/2025 10:06:14,1 - 2 horas,Tarde (12pm–6pm),MOBA,Solo,5,5,Gané
17/9/2025 10:06:29,0 - 1 horas,Noche (6pm–12am),MOBA,Solo,1,0,Gané
17/9/2025 10:06:43,0 - 1 horas,Noche (6pm–12am),MOBA,Solo,1,1,Gané
17/9/2025 10:06:54,0 - 1 horas,Noche (6pm–12am),MOBA,Solo,2,2,Gané
17/9/2025 10:07:11,1 - 2 horas,Noche (6pm–12am),MOBA,Solo,3,3,Gané
17/9/2025 10:07:23,1 - 2 horas,Noche (6pm–12am),MOBA,Solo,3,4,Gané
17/9/2025 10:07:37,2 - 3 horas,Noche (6pm–12am),MOBA,Solo,4,5,Gané
17/9/2025 10:07:47,2 - 3 horas,Noche (6pm–12am),MOBA,Solo,5,6,Perdí
17/9/2025 10:09:20,0 - 1 horas,Tarde (12pm–6pm),MOBA,Solo,1,0,Gané
17/9/2025 10:09:46,4 - 5 + horas,Noche (6pm–12am),MOBA,Solo,3,5,Gané
